ID,title,totalAmount,currency,costCenter,status_code,approver,approvalDate,justification,region,aiComplianceScore,aiAuditNotes,createdAt,createdBy,rejectReason,cancelReason,submittedAt,aiCheckedAt,withdrawnAt
0c2cfc26-2ff8-4c44-9a24-4a0f2a3f3b5a,Laptop Refresh - Finance Dept,36250.00,EUR,CC1000,N,,,Replace aging 5-year-old laptops for 25 Finance team members to support the new ERP rollout and improve productivity.,EU,,,2025-11-01T08:00:00.000Z,alice.eu,,,,,
2a49c7e5-4f31-4d1e-bc93-5edc7261f4e9,Conveyor System Maintenance,18300.00,USD,CC2000,S,,,Preventive maintenance contract for warehouse conveyor systems to reduce unplanned downtime and ensure operational continuity.,EU,78,Request covers standard preventive maintenance. Budget aligns with industry norms for conveyor systems. Recommend approval subject to vendor certification verification.,2025-11-01T08:00:00.000Z,bob.eu,,,2025-11-10T10:00:00.000Z,2025-11-10T10:03:00.000Z,
6f40978e-bb9a-4b63-8e07-19b0c8e2f019,AutoCAD License Renewal,32000.00,USD,CC3000,A,mgr.johnson,2026-04-03T14:30:00.000Z,Annual renewal of 40 AutoCAD LT licenses for Engineering team. Includes training workshops to ensure full utilization of new features.,US,92,License acquisition is cost-effective compared to perpetual licensing model. Training component improves ROI. No compliance concerns identified.,2025-12-01T09:00:00.000Z,carol.us,,,2026-01-20T10:00:00.000Z,2026-01-20T10:02:00.000Z,
7c7e11b8-0f33-45d8-9cc8-2ef0a3b6f7fd,Ergonomic Office Chairs - Open Space,9500.00,EUR,CC1000,R,hr.director,2026-04-15T09:00:00.000Z,Replacement of 7-year-old chairs with ergonomic models to reduce employee sick days and comply with workplace health regulations.,EU,73,Request is ergonomically justified and compliant with workplace regulations. Budget timing may be a concern given current cost-reduction initiatives.,2025-12-01T09:00:00.000Z,alice.eu,Budget freeze in Q4 - please resubmit in Q1 2026 with updated quotes.,,2026-02-01T10:00:00.000Z,2026-02-01T10:02:00.000Z,
9a8d30c0-0b1b-4d34-b7a7-e9c9a5a6d4e2,Data Center Server Expansion,40000.00,USD,CC4000,S,,,Expand data center capacity with 4 new servers and rack infrastructure to support Q3 project workloads and disaster recovery requirements.,US,71,Capacity expansion justified given projected workload growth. Vendor quotes should be compared with at least two alternatives. Consider cloud-burst options for peak loads.,2026-01-15T10:00:00.000Z,dan.us,,,2026-01-28T10:00:00.000Z,2026-01-28T10:03:00.000Z,
ad6d98d7-0f7e-4aa0-9a0a-34cbe2a56d7b,Production Line Sensor Upgrade,11850.00,EUR,CC2000,N,,,Upgrade proximity sensors on production lines 3 and 4 to reduce false-positive stops and improve throughput by an estimated 12%.,EU,,,2026-01-15T10:00:00.000Z,bob.eu,,,2026-01-22T10:00:00.000Z,,2026-01-25T14:30:00.000Z
b7d6a4cf-6b8a-4c07-9f6e-7b2b7b0a0d55,Cloud Backup Service Renewal,12000.00,USD,CC4000,A,it.director,2026-03-28T16:10:00.000Z,Annual renewal of cloud backup contract for critical business systems. Includes expanded storage tier and disaster recovery failover testing.,US,95,Renewal is routine and cost is consistent with prior contract. Cloud backup is critical infrastructure. No compliance concerns.,2026-02-01T09:00:00.000Z,carol.us,,,2026-02-20T10:00:00.000Z,2026-02-20T10:01:00.000Z,
c3b0a8d4-4c0b-4e35-9df7-1cc3a2f6a4b1,Electric Forklift Fleet Lease,36000.00,EUR,CC2000,S,,,Lease of 2 electric forklifts to replace diesel units. Reduces fuel costs by ~30% and meets EU emissions compliance deadline effective 2027.,EU,84,Fleet upgrade aligns with EU emissions compliance requirement. TCO analysis shows 18% saving vs. diesel over the lease period. Recommend approval.,2026-02-01T09:00:00.000Z,bob.eu,,,2026-02-22T10:00:00.000Z,2026-02-22T10:03:00.000Z,
d28d5a7b-2a58-4fbb-8d6a-9a2f1f4e6c3d,Conference Rooms AV Upgrade,15500.00,EUR,CC1000,C,alice.eu,2026-03-20T10:00:00.000Z,Upgrade AV equipment in 3 main conference rooms to support hybrid meetings. Current equipment is incompatible with the new video collaboration platform.,EU,68,AV refresh justified for hybrid work support. Budget timing is a concern given current Q1 cost-reduction initiatives. Recommend phased rollout.,2026-03-01T08:00:00.000Z,alice.eu,,Budget reallocated to core infrastructure - request deferred to Q3 2026.,2026-03-10T09:00:00.000Z,2026-03-10T09:03:00.000Z,
f1c4b2e9-9d0a-4c7f-9b0d-2a1b3c4d5e6f,CNC Machine Toolset - Line 7,88000.00,USD,CC3000,A,ops.vp,2026-03-15T11:00:00.000Z,Full toolset for the new CNC machining center on production line 7. Required before line goes live in Q2 2026.,US,88,CNC tooling is a capital necessity for the new production line. Pricing is within market range. Compliance requirements for precision tooling are met.,2026-03-01T08:00:00.000Z,dan.us,,,2026-03-08T10:00:00.000Z,2026-03-08T10:02:00.000Z,
a1b2c3d4-e5f6-4a7b-8c9d-0e1f2a3b4c5d,Office Renovation - Warsaw HQ,24500.00,EUR,CC1000,S,,,Modernise open-plan seating in Warsaw headquarters to support the new team structure. Includes partition walls desk systems and breakout area furniture.,PL,81,Renovation scope is proportionate to headcount growth. Cost per workstation is within benchmark. Recommend approval with minor scope clarification on breakout furniture.,2026-04-01T07:30:00.000Z,alice.eu,,,2026-04-10T08:00:00.000Z,2026-04-10T08:03:00.000Z,
b2c3d4e5-f6a7-4b8c-9d0e-1f2a3b4c5d6e,Network Infrastructure Upgrade,17200.00,USD,CC4000,A,it.director,2026-04-18T14:00:00.000Z,Replace end-of-life core switches and upgrade WAN links across 3 US offices to support increased remote-work bandwidth demands and planned VoIP rollout.,US,90,Network upgrade is overdue and directly tied to the VoIP project timeline. Vendor pricing is competitive. No compliance concerns.,2026-04-01T07:30:00.000Z,dan.us,,,2026-04-10T09:00:00.000Z,2026-04-10T09:02:00.000Z,
